,ID,Fecha,Altura,Caudal,Area,Velocidad,Froude,Este,Norte
1,1,02-11-16,0.64,776.9613333,0.8576,0.905971704,0.36156813,271030.39,6613340.78
2,2,14-11-16,0.31,260.5144417,0.4061,0.641503181,0.36786076,271030.39,6613340.78
3,3,14-11-16,0.31,260.053575,0.4061,0.640368321,0.367209991,271030.39,6613340.78
4,4,14-11-16,0.31,257.0018833,0.4061,0.63285369,0.362900834,271030.39,6613340.78
8,8,15-11-16,0.33,275.468875,0.43175,0.638028662,0.354823262,271030.39,6613340.78
9,9,15-11-16,0.33,280.541525,0.43175,0.649777707,0.361357191,271030.39,6613340.78
10,10,15-11-16,0.33,279.7482417,0.43175,0.64794034,0.360335387,271030.39,6613340.78
11,11,16-11-16,0.51,548.72175,0.6681,0.821316794,0.367190225,271030.39,6613340.78
12,12,16-11-16,0.51,542.4846625,0.6681,0.811981234,0.363016529,271030.39,6613340.78
13,13,16-11-16,0.51,543.9381625,0.6681,0.814156807,0.363989174,271030.39,6613340.78
14,14,18-11-16,0.37,331.8590833,0.4836,0.686226392,0.360580359,271030.39,6613340.78
15,15,18-11-16,0.37,329.6648417,0.4836,0.681689085,0.358196214,271030.39,6613340.78
16,16,18-11-16,0.37,332.001925,0.4836,0.686521764,0.360735563,271030.39,6613340.78
17,17,19-12-16,0.67,952.6872375,0.8777,1.085436069,0.423381955,271030.39,6613340.78
18,18,19-12-16,0.67,950.68645,0.8777,1.083156489,0.422492789,271030.39,6613340.78
19,19,19-12-16,0.67,948.2384375,0.8777,1.080367366,0.421404872,271030.39,6613340.78
20,20,08-11-16,0.39,376.3374833,0.5098,0.738206127,0.377795452,271030.39,6613340.78
21,21,08-11-16,0.39,378.58225,0.5098,0.742609357,0.380048915,271030.39,6613340.78
22,22,08-11-16,0.39,370.1397083,0.5098,0.726048859,0.371573666,271030.39,6613340.78
